"CASEID","NUMKID86","NUMKID88","NUMKID90","NUMKID92","NUMKID94","NUMKID96","NUMKID98","NUMKID00","NUMKID02","NUMKID04","NUMKID06","NUMKID08","NUMKID10","NUMKID12","NUMKID14"
4109,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2
4110,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
4111,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4112,1,2,3,3,3,3,3,3,3,-5,3,3,3,3,3
4113,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
4114,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
4115,-5,2,2,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4118,0,-5,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5
4119,2,2,2,2,2,2,2,2,2,2,-5,-5,2,2,2
4120,2,2,2,2,2,2,2,2,2,2,-5,2,2,2,2
4121,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4123,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3
4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4125,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0
4126,-5,-5,0,0,0,0,0,0,0,-5,-5,-5,0,0,0
4127,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5
4128,0,0,0,0,0,0,0,0,0,1,2,2,2,-5,-5
4129,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
4130,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
4131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4132,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4
4133,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4134,-5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4135,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5
4136,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4137,-5,-5,-5,0,0,0,0,0,-5,-5,-5,0,-5,-5,-5
4138,0,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5,-5
4139,-5,-5,-5,0,0,0,0,0,-5,0,0,-5,-5,-5,-5
4140,0,0,0,0,0,-5,-5,-5,-5,0,0,0,-5,-5,-5
4141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4142,0,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5
4143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5
4144,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4145,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-5
4146,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4148,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
4149,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4150,0,0,1,1,1,-5,1,-5,-5,-5,-5,1,1,1,-5
4151,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4153,0,1,1,2,2,2,2,2,2,3,3,3,3,3,3
4154,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
4155,0,0,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,-5
4156,-5,1,2,3,3,3,3,3,3,3,3,3,3,3,3
4157,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4158,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
4159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4160,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4161,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5
4162,1,1,1,2,2,-5,-5,2,-5,-5,-5,-5,-5,-5,-5
4163,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
4164,-5,0,0,0,0,-5,-5,-5,0,0,0,0,-5,-5,0
4165,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,2,2,2,2
4166,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5
4167,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4168,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
4169,0,0,0,0,0,0,1,1,1,1,-5,-5,-5,-5,-5
4170,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
4171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4173,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0
4174,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0
4175,1,-5,2,2,2,-5,2,2,2,2,2,2,2,-5,2
4176,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
4177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4178,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3
4179,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4180,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
4181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4182,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-5
4183,3,4,4,4,-5,4,4,-5,-5,-5,-5,-5,-5,-5,-5
4184,3,-5,4,4,-5,4,4,-5,-5,-5,4,-5,-5,-5,-5
4185,0,-5,0,1,1,2,2,2,2,2,2,2,2,2,2
4186,0,1,2,2,2,2,2,2,2,2,-5,-5,2,-5,-5
4187,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
4188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4189,0,0,0,0,0,0,0,-5,-5,-5,0,0,0,0,0
4190,0,-5,-5,1,-5,-5,2,2,2,-5,-5,-5,-5,-5,2
4191,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3
4192,0,0,0,0,1,1,2,2,2,2,2,2,2,-5,2
4193,0,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4194,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
4195,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3
4196,1,1,1,1,1,1,1,1,1,-5,1,1,1,1,1
4197,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4199,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-5
4200,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
4201,1,-5,1,1,1,1,2,-5,-5,-5,2,2,2,-5,2
4202,0,0,-5,0,-5,0,1,-5,-5,-5,2,-5,-5,-5,-5
