"CASEID","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1"
334,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
335,0,1,1,0,0,0,0,0,0,0,1
336,1,1,-5,-5,1,1,1,1,1,0,0
337,0,0,1,0,0,1,1,0,0,1,-5
338,0,0,0,1,0,0,-5,-5,-5,1,0
339,1,1,1,1,0,0,1,1,0,1,0
340,1,1,-5,0,0,0,0,0,0,0,0
341,-5,-5,-5,1,0,-5,-5,-5,-5,1,0
342,1,0,0,0,0,0,0,0,0,0,0
343,1,0,0,1,-5,1,0,0,0,0,0
344,0,1,0,0,0,0,0,-5,-5,-5,-5
345,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
346,0,0,0,1,0,0,0,0,0,0,1
347,0,1,0,-5,-5,-5,-5,0,-5,-5,1
348,1,0,1,1,0,0,-5,-5,-5,1,1
349,0,0,0,-5,-5,-5,-5,-5,-5,0,1
350,1,1,0,0,0,0,0,1,0,0,0
351,1,0,1,0,0,1,0,-5,-5,-5,-5
352,0,0,0,0,0,0,0,1,0,0,0
353,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
354,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0
356,1,1,1,0,0,0,0,0,0,1,1
357,1,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0
359,1,1,0,1,0,-5,-5,-5,-5,-5,-5
360,1,0,1,0,0,0,0,0,0,0,0
361,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
362,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,1,1,1,1,1,0,0
364,0,1,0,0,0,0,0,1,-5,-5,-5
365,1,0,1,1,0,0,0,0,0,1,1
366,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
367,1,0,0,0,0,0,0,0,0,1,0
368,1,0,0,-5,0,1,0,1,1,-5,-5
