"CASEID","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3"
392,1,-4,0,-4,-4,-4,-4,-4
393,-4,-4,-4,-4,-4,-4,-4,-4
394,-5,-5,0,0,1,-4,0,0
395,1,1,1,0,0,0,0,-4
396,-4,0,0,-4,-4,-4,-4,-4
397,0,1,1,1,1,0,-5,-5
398,0,-4,1,-5,1,-4,-4,-4
399,-4,-4,-4,-4,-4,-4,-4,-4
400,0,-4,-4,-4,-4,-4,-4,-4
401,-4,0,-4,-4,1,-4,-4,-4
402,-4,-4,-4,-4,-4,0,-4,-4
403,-4,0,-4,-4,-4,0,0,-4
404,-5,-5,-5,-5,-5,-5,-5,-5
405,-4,-4,0,-4,-4,-4,-4,-4
406,1,1,-4,-4,-4,-4,-4,1
407,-4,-4,-4,-4,-4,-4,-4,-4
408,-4,-4,-4,-4,-4,-4,0,-4
409,-4,-4,-4,1,1,1,1,-4
410,-4,-4,-4,-4,-4,-4,-4,-5
411,-4,-4,0,-4,-4,0,-4,-4
412,-4,1,-4,-4,-4,-4,-4,-4
413,-5,-5,-5,-5,-5,-5,-5,-5
414,-4,0,-4,-4,-4,-4,-4,-5
415,-4,-4,-4,-4,-4,-4,-4,-4
416,-4,-4,-4,-4,-4,-4,-4,-4
417,-4,-4,-4,0,0,-4,-4,-4
418,-4,0,-4,-4,-4,-4,-4,-4
419,1,0,0,1,0,1,0,0
420,1,1,0,1,0,-4,-4,-4
421,-4,-4,-4,-5,-5,-4,-5,-5
422,-4,-4,-4,-4,0,-4,-4,-4
423,-4,1,-5,-5,-5,-4,-4,-4
424,0,-4,-4,-4,-5,-5,-5,0
425,-4,0,-4,1,-4,-4,-4,-4
426,0,-5,-4,-4,-4,-4,-4,-4
427,-5,-5,-5,-5,1,-4,-5,-4
428,-5,-5,-5,-5,-5,-5,-5,-5
429,-5,-5,-5,-5,-5,-5,-5,-5
430,-5,-5,-5,-5,-5,0,-5,-5
431,-4,-4,-4,-4,-4,-4,-4,0
432,-5,-5,-5,0,1,-5,-5,-5
433,-4,-5,1,-4,-4,0,-5,-5
