"CPUBID","MPUBID","BKGN-20","BKGN-20","BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20"
25802,258,-7,-7,-7,-7,-7,-7,-7,-7
25803,258,-7,-7,-7,-7,-7,-7,-7,-7
26201,262,-7,-7,-7,-7,-7,-7,-7,-7
26202,262,-7,-7,-7,-7,-7,-7,-7,-7
26501,265,1,1,1,-7,-7,-7,-7,-7
26502,265,1,1,1,1,-7,-7,-7,-7
26503,265,1,1,1,1,-7,-7,-7,-7
26504,265,-7,9,1,1,-7,1,-7,-7
27201,272,-7,-7,-7,-7,-7,-7,-7,-7
27202,272,3,-7,-7,-7,-7,-7,-7,-7
27203,272,3,3,-7,-7,-7,-7,-7,-7
27204,272,3,3,3,3,1,-7,-7,-7
27501,275,3,3,1,-7,-7,-7,-7,-7
27502,275,3,3,1,1,-7,-7,-7,-7
27801,278,1,-7,-7,-7,-7,-7,-7,-7
27802,278,1,1,1,-7,-7,-7,-7,-7
27803,278,9,1,1,1,-7,-7,-7,-7
27804,278,-7,-7,-7,-7,-7,1,-7,-7
28201,282,3,3,3,-7,-7,-7,-7,-7
28202,282,3,3,3,3,1,-7,-7,-7
28501,285,-7,-7,-7,-7,-7,-7,-7,-7
28502,285,-7,-7,-7,-7,-7,-7,-7,-7
28503,285,-7,-7,-7,-7,-7,-7,-7,-7
28701,287,-7,-7,-7,-7,-7,-7,-7,-7
28702,287,1,1,-7,-7,-7,-7,-7,-7
28801,288,-7,-7,-7,-7,-7,-7,-7,-7
28802,288,1,-7,-7,-7,-7,-7,-7,-7
28803,288,1,1,1,1,-7,-7,-7,-7
28804,288,-7,-7,-7,1,2,1,1,-7
28805,288,-7,-7,-7,1,2,1,2,1
28806,288,-7,-7,-7,1,2,1,2,1
28901,289,-7,-7,-7,-7,-7,-7,-7,-7
28902,289,-7,-7,-7,-7,-7,-7,-7,-7
29001,290,-7,-7,-7,-7,-7,-7,-7,-7
29002,290,-7,-7,-7,-7,-7,-7,-7,-7
29201,292,1,1,1,-7,-7,-7,-7,-7
29202,292,1,1,1,-7,-7,-7,-7,-7
29301,293,-7,-7,-7,-7,-7,-7,-7,-7
29302,293,1,1,-7,-7,-7,-7,-7,-7
29401,294,-7,-7,-7,-7,-7,-7,-7,-7
29402,294,-7,-7,-7,-7,-7,-7,-7,-7
29403,294,-7,-7,-7,-7,-7,-7,-7,-7
29701,297,-7,-7,-7,-7,-7,-7,-7,-7
29702,297,1,1,1,1,-7,-7,-7,-7
29801,298,3,-7,-7,-7,-7,-7,-7,-7
29802,298,-7,-7,-7,-7,-7,-7,-7,-7
30501,305,-7,-7,-7,-7,-7,-7,-7,-7
30502,305,-7,-7,-7,-7,-7,-7,-7,-7
31201,312,-7,-7,-7,-7,-7,-7,-7,-7
31202,312,-7,-7,-7,-7,-7,-7,-7,-7
31401,314,-7,-7,-7,-7,-7,-7,-7,-7
31402,314,-7,-7,-7,-7,-7,-7,-7,-7
31403,314,-7,-7,-7,-7,-7,-7,-7,-7
31404,314,-7,-7,-7,-7,-7,-7,-7,-7
31405,314,-7,-7,-7,-7,-7,-7,-7,-7
32101,321,3,4,-7,-7,-7,-7,-7,-7
32102,321,3,4,3,-7,-7,-7,-7,-7
32103,321,3,4,3,3,-7,-7,-7,-7
32201,322,3,3,-7,-7,-7,-7,-7,-7
32202,322,3,3,-7,-7,-7,-7,-7,-7
32203,322,3,3,-7,-7,-7,-7,-7,-7
33301,333,-7,-7,-7,-7,-7,-7,-7,-7
33302,333,3,2,-7,-7,-7,-7,-7,-7
33501,335,1,1,-7,-7,-7,-7,-7,-7
33801,338,-7,-7,-7,-7,-7,-7,-7,-7
33802,338,1,-7,-7,-7,-7,-7,-7,-7
33901,339,-7,-7,-7,-7,-7,-7,-7,-7
34001,340,-7,-7,-7,-7,-7,-7,-7,-7
34002,340,-7,-7,-7,-7,-7,-7,-7,-7
34003,340,3,1,-7,-7,-7,-7,-7,-7
34301,343,-7,-7,-7,-7,-7,-7,-7,-7
34401,344,1,1,1,-7,-7,-7,-7,-7
34402,344,1,1,1,-7,-7,-7,-7,-7
34501,345,-7,-7,-7,-7,-7,-7,-7,-7
34701,347,1,1,-7,-7,-7,-7,-7,-7
34702,347,1,1,-7,-7,-7,-7,-7,-7
35401,354,1,1,-7,-7,-7,-7,-7,-7
35402,354,-7,1,1,1,1,-7,-7,-7
36501,365,-7,-7,-7,-7,-7,-7,-7,-7
36502,365,-7,-7,-7,-7,-7,-7,-7,-7
36503,365,-7,-7,-7,-7,-7,-7,-7,-7
36504,365,-7,-7,-7,-7,-7,-7,-7,-7
36505,365,-7,-7,-7,-7,-7,-7,-7,-7
36901,369,1,1,1,-7,-7,-7,-7,-7
36902,369,1,1,1,1,1,-7,-7,-7
37101,371,-7,-7,-7,-7,-7,-7,-7,-7
37102,371,-7,-7,-7,-7,-7,-7,-7,-7
37103,371,-7,-7,-7,-7,-7,-7,-7,-7
37301,373,-7,-7,-7,-7,-7,-7,-7,-7
37302,373,-7,-7,-7,-7,-7,-7,-7,-7
37401,374,-7,-7,-7,-7,-7,-7,-7,-7
37402,374,-7,-7,-7,-7,-7,-7,-7,-7
37403,374,-7,-7,-7,-7,-7,-7,-7,-7
37901,379,-7,-7,-7,-7,-7,-7,-7,-7
37902,379,-7,-7,-7,-7,-7,-7,-7,-7
37903,379,-7,-7,-7,-7,-7,-7,-7,-7
38201,382,-7,-7,-7,-7,-7,-7,-7,-7
38202,382,-7,-7,-7,-7,-7,-7,-7,-7
38501,385,1,-7,-7,-7,-7,-7,-7,-7
38502,385,1,-7,-7,-7,-7,-7,-7,-7
38503,385,-7,-7,1,1,1,1,-7,-7
38801,388,1,-7,-7,-7,-7,-7,-7,-7
38802,388,1,1,1,-7,-7,-7,-7,-7
38803,388,-7,-7,1,1,1,1,-7,-7
38901,389,-7,-7,-7,-7,-7,-7,-7,-7
38902,389,-7,-7,-7,-7,-7,-7,-7,-7
39001,390,-7,-7,-7,-7,-7,-7,-7,-7
39002,390,-7,-7,-7,-7,-7,-7,-7,-7
39003,390,-7,-7,-7,-7,-7,-7,-7,-7
39004,390,-7,-7,1,-7,-7,-7,-7,-7
39101,391,-7,-7,-7,-7,-7,-7,-7,-7
39102,391,-7,-7,-7,-7,-7,-7,-7,-7
39103,391,3,-7,1,1,-7,-7,-7,-7
39501,395,-7,-7,-7,-7,-7,-7,-7,-7
39502,395,-7,-7,-7,-7,-7,-7,-7,-7
39701,397,-7,-7,-7,-7,-7,-7,-7,-7
39702,397,-7,-7,-7,-7,-7,-7,-7,-7
39703,397,-7,1,1,-7,-7,-7,-7,-7
39704,397,-7,-7,-7,1,1,1,-7,-7
39901,399,-7,-7,-7,-7,-7,-7,-7,-7
40001,400,1,1,1,-7,-7,-7,-7,-7
40101,401,-7,-7,-7,-7,-7,-7,-7,-7
40102,401,1,-7,-7,-7,-7,-7,-7,-7
40201,402,-7,-7,-7,-7,-7,-7,-7,-7
40202,402,-7,-7,-7,-7,-7,-7,-7,-7
40203,402,1,1,1,1,-7,-7,-7,-7
40501,405,1,1,1,-7,-7,-7,-7,-7
40502,405,1,1,1,1,-7,-7,-7,-7
40503,405,-7,1,1,1,1,-7,-7,-7
40701,407,1,1,1,1,1,-7,-7,-7
40702,407,-7,1,1,1,1,1,-7,-7
41401,414,1,-7,-7,-7,-7,-7,-7,-7
41402,414,1,1,-7,-7,-7,-7,-7,-7
41601,416,-7,-7,-7,-7,-7,-7,-7,-7
41602,416,3,-7,-7,-7,-7,-7,-7,-7
41603,416,3,3,-7,-7,-7,-7,-7,-7
41604,416,3,3,3,3,-7,-7,-7,-7
41801,418,1,1,-7,-7,-7,-7,-7,-7
42301,423,4,4,-7,-7,-7,-7,-7,-7
42302,423,-7,-7,-7,-7,-7,4,-7,-7
42501,425,-7,-7,-7,-7,-7,-7,-7,-7
42502,425,-7,-7,-7,-7,-7,-7,-7,-7
42503,425,-7,-7,-7,-7,-7,-7,-7,-7
42504,425,1,1,1,-7,-7,-7,-7,-7
42505,425,-7,1,1,1,1,-7,-7,-7
42701,427,-7,-7,-7,-7,-7,-7,-7,-7
42801,428,-7,-7,-7,-7,-7,-7,-7,-7
42802,428,-7,-7,-7,-7,-7,-7,-7,-7
43101,431,1,-7,-7,-7,-7,-7,-7,-7
43102,431,1,1,-7,-7,-7,-7,-7,-7
43103,431,1,1,1,-7,-7,-7,-7,-7
43701,437,-7,-7,-7,-7,-7,-7,-7,-7
43702,437,-7,-7,-7,-7,-7,-7,-7,-7
43703,437,1,-7,-7,-7,-7,-7,-7,-7
43801,438,1,-7,-7,-7,-7,-7,-7,-7
43901,439,4,4,4,1,1,-7,-7,-7
43902,439,-7,4,4,4,1,1,-7,-7
44201,442,-7,-7,-7,-7,-7,-7,-7,-7
44202,442,-7,-7,-7,-7,-7,-7,-7,-7
44203,442,-7,-7,-7,-7,-7,-7,-7,-7
44401,444,1,1,1,-7,-7,-7,-7,-7
44402,444,1,1,1,1,-7,-7,-7,-7
44601,446,-7,-7,-7,-7,-7,-7,-7,-7
44602,446,-7,-7,-7,-7,-7,-7,-7,-7
44901,449,-7,-7,1,1,1,1,-7,-7
44902,449,-7,-7,-7,-7,1,1,1,1
45201,452,1,1,1,1,1,-7,-7,-7
45202,452,-7,-7,1,1,1,1,-7,-7
45501,455,1,1,-7,-7,-7,-7,-7,-7
45502,455,1,1,1,1,-7,-7,-7,-7
45801,458,3,3,1,1,-7,-7,-7,-7
45901,459,1,1,1,-7,-7,-7,-7,-7
45902,459,1,1,1,1,-7,-7,-7,-7
45903,459,5,1,1,1,1,-7,-7,-7
46201,462,5,3,3,3,3,-7,-7,-7
46501,465,-7,-7,-7,-7,-7,-7,-7,-7
46701,467,-7,-7,-7,-7,-7,-7,-7,-7
46702,467,1,-7,-7,-7,-7,-7,-7,-7
47101,471,-7,-7,-7,-7,-7,-7,-7,-7
47102,471,-7,-7,-7,-7,-7,-7,-7,-7
47201,472,-7,-7,1,1,1,1,1,-7
47401,474,1,1,-7,-7,-7,-7,-7,-7
47402,474,1,1,1,-7,-7,-7,-7,-7
47403,474,-7,-7,1,1,1,1,-7,-7
47501,475,1,1,1,1,-7,-7,-7,-7
47601,476,1,2,1,-7,-7,-7,-7,-7
47602,476,1,2,1,1,-7,-7,-7,-7
47801,478,-7,-7,-7,-7,-7,-7,-7,-7
47802,478,-7,-7,-7,-7,-7,-7,-7,-7
48501,485,-7,-7,-7,-7,-7,-7,-7,-7
48502,485,1,1,1,-7,-7,-7,-7,-7
48503,485,1,1,1,-7,-7,-7,-7,-7
49101,491,-7,-7,-7,-7,-7,-7,-7,-7
49102,491,-7,-7,-7,-7,-7,-7,-7,-7
49201,492,1,1,-7,-7,-7,-7,-7,-7
49202,492,1,1,1,-7,-7,-7,-7,-7
49203,492,1,1,1,1,1,-7,-7,-7
49401,494,-7,-7,-7,-7,-7,-7,-7,-7
49402,494,-7,-7,-7,-7,-7,-7,-7,-7
49501,495,1,-7,-7,-7,-7,-7,-7,-7
49502,495,1,1,-7,-7,-7,-7,-7,-7
49901,499,-7,-7,-7,-7,-7,-7,-7,-7
50101,501,-7,-7,-7,4,1,1,1,-7
50102,501,-7,-7,-7,-7,1,1,1,1
50301,503,-7,-7,-7,-7,-7,-7,-7,-7
50302,503,-7,-7,-7,-7,-7,-7,-7,-7
50303,503,-7,-7,-7,-7,-7,-7,-7,-7
50401,504,-7,-7,-7,-7,-7,-7,-7,-7
50402,504,-7,-7,-7,-7,-7,-7,-7,-7
50403,504,-7,-7,1,1,1,1,-7,-7
50601,506,1,1,1,1,-7,-7,-7,-7
50701,507,-7,-7,-7,-7,-7,-7,-7,-7
50702,507,1,-7,-7,-7,-7,-7,-7,-7
51401,514,1,-7,-7,-7,-7,-7,-7,-7
51402,514,1,1,1,-7,-7,-7,-7,-7
51403,514,1,1,1,1,-7,-7,-7,-7
51501,515,-7,-7,-7,-7,-7,-7,-7,-7
51502,515,-7,-7,-7,-7,-7,-7,-7,-7
51901,519,1,1,-7,-7,-7,-7,-7,-7
52201,522,-7,-7,-7,-7,-7,-7,-7,-7
52202,522,-7,-7,-7,-7,-7,2,-7,-7
52501,525,9,-7,-7,-7,-7,-7,-7,-7
52502,525,-7,-7,-7,-7,-7,-7,-7,-7
52801,528,-7,-7,-7,-7,-7,-7,-7,-7
52802,528,-7,-7,-7,-7,-7,-7,-7,-7
52901,529,-7,-7,-7,-7,-7,-7,-7,-7
52902,529,-7,-7,-7,-7,-7,-7,-7,-7
52903,529,-7,-7,-7,-7,-7,-7,-7,-7
53001,530,-7,-7,-7,-7,-7,-7,-7,-7
53002,530,-7,-7,-7,-7,-7,-7,-7,-7
53003,530,-7,-7,-7,-7,-7,-7,-7,-7
53201,532,-7,-7,-7,-7,-7,-7,-7,-7
53202,532,-7,-7,-7,-7,-7,-7,-7,-7
53301,533,1,1,1,1,-7,-7,-7,-7
53601,536,-7,-7,-7,-7,-7,-7,-7,-7
53602,536,1,1,1,-7,-7,-7,-7,-7
54201,542,-7,-7,-7,-7,-7,-7,-7,-7
54202,542,1,-7,-7,-7,-7,-7,-7,-7
54401,544,1,1,-7,-7,-7,-7,-7,-7
54601,546,-7,-7,-7,-7,-7,-7,-7,-7
54602,546,1,1,-7,-7,-7,-7,-7,-7
54801,548,-7,-7,-7,-7,-7,-7,-7,-7
54802,548,1,-7,-7,-7,-7,-7,-7,-7
54803,548,1,-7,1,-7,-7,-7,-7,-7
54804,548,-7,-7,1,1,1,1,-7,-7
55001,550,-7,-7,-7,-7,-7,-7,-7,-7
55002,550,-7,-7,-7,-7,-7,-7,-7,-7
55201,552,-7,-7,-7,-7,-7,-7,-7,-7
55202,552,1,-7,-7,-7,-7,-7,-7,-7
55701,557,3,3,-7,-7,-7,-7,-7,-7
55702,557,3,3,3,-7,-7,-7,-7,-7
55703,557,3,3,3,-7,-7,-7,-7,-7
55704,557,3,3,3,3,3,-7,-7,-7
55801,558,3,3,3,-7,-7,-7,-7,-7
55802,558,3,3,3,3,-7,-7,-7,-7
55803,558,3,3,3,3,3,-7,-7,-7
56301,563,-7,-7,-7,-7,-7,-7,-7,-7
56302,563,-7,-7,-7,-7,-7,-7,-7,-7
56303,563,4,4,1,-7,-7,-7,-7,-7
56701,567,1,1,1,1,-7,-7,-7,-7
56702,567,1,1,1,1,1,-7,-7,-7
56801,568,1,1,1,-7,-7,-7,-7,-7
57201,572,-7,-7,-7,-7,-7,-7,-7,-7
57401,574,-7,-7,-7,-7,-7,-7,-7,-7
57601,576,-7,8,8,-7,-7,-7,-7,-7
