,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
7792,796701,7967,1,1,1,1976,84,1986,14,35,31,86,17,37,90,26,-0.3,-3,-0.3,-3,-0.3,-3,123
7944,809102,8091,1,1,11,1979,79,1986,8,10,18,99,47,18,98,44,89.8,25,-0.3,-3,84.5,16,79
7977,812501,8125,2,2,10,1975,78,1986,7,29,42,97,43,56,116,85,77.1,6,-0.3,-3,67.9,2,124
7987,814001,8140,1,1,8,1978,106,1986,66,34,23,96,39,28,102,54,91.6,30,-0.3,-3,-0.3,-3,94
8020,817402,8174,1,2,12,1978,97,1986,42,24,19,88,21,22,91,28,77.2,6,-0.3,-3,85.5,18,86
8031,818001,8180,1,1,11,1976,91,1986,27,36,43,105,64,60,126,96,90.8,27,-0.3,-3,92.3,30,113
8044,819401,8194,1,1,2,1975,108,1986,71,53,49,102,56,71,122,93,109.2,73,-0.3,-3,101.3,53,135
8061,821001,8210,2,2,4,1976,82,1986,11,33,30,84,15,33,86,17,86.7,19,-0.3,-3,-0.3,-3,122
8062,821002,8210,2,2,4,1978,95,1986,37,26,26,97,43,30,102,55,73.8,4,-0.3,-3,86.1,18,98
8091,825901,8259,1,1,9,1977,109,1986,73,42,37,106,66,39,107,69,62.2,1,-0.3,-3,72.7,4,103
8098,826101,8261,1,1,12,1977,90,1986,26,25,23,89,24,29,97,43,90.4,25,93.5,34,-0.3,-3,100
8144,828601,8286,1,2,10,1976,103,1986,59,43,44,109,72,51,116,85,106.1,66,-0.3,-3,105.0,63,113
8148,828701,8287,1,2,8,1974,95,1986,36,45,47,98,44,70,119,90,105.1,63,-0.3,-3,114.7,84,139
8272,837301,8373,3,2,11,1977,69,1986,2,12,19,78,7,21,79,8,102.8,58,-0.3,-3,112.9,81,101
8294,839101,8391,1,1,8,1980,107,1986,69,16,18,114,82,18,113,80,116.4,86,-0.3,-3,-0.3,-3,69
8309,840402,8404,1,2,1,1979,101,1986,52,25,43,123,94,40,119,90,85.0,16,-0.3,-3,105.1,63,-7
8357,845501,8455,3,2,5,1979,120,1986,91,37,42,128,97,45,131,98,-0.3,-3,-0.3,-3,-0.3,-3,82
8481,859001,8590,3,1,9,1978,106,1986,66,31,24,100,51,32,109,73,88.1,21,-0.3,-3,105.1,63,89
8510,861501,8615,2,2,6,1976,107,1986,67,45,47,111,77,47,108,70,81.8,12,-0.3,-3,92.3,30,116
8555,866201,8662,2,2,11,1979,89,1986,23,12,18,102,56,19,102,56,87.9,21,-0.3,-3,-0.3,-3,74
8642,873301,8733,3,1,9,1977,86,1986,17,24,20,78,7,26,90,26,110.5,77,-0.3,-3,106.2,66,101
8862,896002,8960,2,2,7,1978,110,1986,75,38,38,114,82,36,111,77,97.5,45,110.7,77,-0.3,-3,94
8870,896601,8966,1,1,3,1976,103,1986,59,45,52,115,84,57,118,89,92.7,32,-0.3,-3,87.9,21,122
8938,904601,9046,2,1,9,1978,107,1986,68,32,43,121,92,40,117,87,93.2,32,-0.3,-3,98.6,47,90
8939,904801,9048,2,2,11,1974,96,1986,40,45,52,107,69,42,90,25,88.3,21,-0.3,-3,74.5,5,135
8972,907401,9074,2,2,7,1977,75,1986,5,16,35,105,62,47,116,85,97.0,42,-0.3,-3,-0.3,-3,103
8976,908002,9080,2,1,6,1977,93,1986,33,32,28,93,32,29,93,31,74.2,4,81.4,10,-0.3,-3,104
8992,910101,9101,2,1,10,1979,90,1986,26,13,18,99,47,18,98,44,84.0,14,-0.3,-3,84.5,16,78
9004,910801,9108,2,2,4,1977,114,1986,83,46,41,108,71,38,104,60,102.8,58,-0.3,-3,106.2,66,106
9067,918002,9180,2,1,4,1979,94,1986,34,17,22,103,58,31,114,82,85.0,16,78.8,8,-0.3,-3,84
9077,918501,9185,3,2,3,1978,99,1986,47,29,30,104,60,32,104,61,104.0,61,-0.3,-3,-0.3,-3,95
9253,938101,9381,1,2,10,1977,100,1986,51,36,47,120,91,39,107,69,121.4,92,-0.3,-3,-0.3,-3,102
9275,940101,9401,2,1,7,1975,95,1986,37,43,44,99,47,40,93,32,86.7,19,-0.3,-3,94.6,37,128
9304,944101,9441,2,1,12,1977,90,1986,26,23,45,121,92,46,118,89,94.3,34,-0.3,-3,86.1,18,98
9390,952301,9523,2,1,8,1979,108,1986,71,24,25,113,81,24,110,74,-0.3,-3,-0.3,-3,-0.3,-3,78
9466,960802,9608,3,1,1,1980,109,1986,73,19,18,107,68,18,105,64,-0.3,-3,-0.3,-3,-0.3,-3,74
9478,962001,9620,1,2,6,1978,123,1986,94,46,46,125,95,44,118,89,93.2,32,-0.3,-3,92.0,30,92
9522,967104,9671,3,2,7,1980,110,1986,74,17,18,114,82,18,113,80,-0.3,-3,-0.3,-3,-0.3,-3,69
9568,975502,9755,3,2,8,1979,98,1986,45,16,18,99,47,18,98,44,93.7,34,-0.3,-3,91.4,27,78
9779,996601,9966,1,2,10,1975,82,1986,11,35,30,83,13,52,108,71,109.2,73,-0.3,-3,114.7,84,128
9780,996602,9966,1,2,4,1978,104,1986,60,34,25,96,39,34,107,68,106.3,66,-0.3,-3,112.9,81,99
9879,1003801,10038,1,2,12,1976,122,1986,93,54,54,122,93,59,126,96,118.3,88,-0.3,-3,111.4,77,110
9880,1003802,10038,1,2,4,1979,111,1986,77,28,25,110,75,26,111,76,122.2,93,111.8,79,-0.3,-3,82
9959,1011301,10113,2,1,12,1975,69,1986,2,25,18,65,1,18,65,1,69.4,2,-0.3,-3,-0.3,-3,125
9964,1011901,10119,3,1,9,1978,111,1986,77,34,26,105,63,29,108,70,83.4,13,-0.3,-3,79.0,8,89
10018,1018401,10184,2,1,5,1978,69,1986,2,11,18,81,10,18,79,8,72.9,4,-0.3,-3,79.0,8,93
10027,1019101,10191,2,2,8,1979,105,1986,64,22,22,109,73,25,112,79,88.6,23,-0.3,-3,64.0,1,78
10035,1020301,10203,2,2,12,1980,81,1986,10,8,23,135,99,23,135,99,106.8,68,-0.3,-3,100.6,53,63
10070,1023102,10231,3,1,9,1978,98,1986,46,25,30,109,72,36,114,82,-0.3,-3,-0.3,-3,-0.3,-3,89
10122,1028601,10286,3,2,10,1976,103,1986,59,43,37,99,47,43,105,63,103.8,61,93.7,34,-0.3,-3,112
10238,1040901,10409,3,1,1,1979,109,1986,73,29,28,111,77,31,114,82,101.4,53,-0.3,-3,111.6,79,86
10316,1048601,10486,1,1,7,1979,96,1986,39,15,19,102,54,19,98,46,-0.3,-3,-0.3,-3,-0.3,-3,80
10321,1049401,10494,3,2,7,1980,88,1986,21,10,18,122,93,18,121,92,94.2,34,105.5,66,-0.3,-3,67
10328,1050202,10502,3,1,11,1979,98,1986,45,16,27,116,86,22,105,62,105.4,63,-0.3,-3,-0.3,-3,78
