,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
8572,867403,8674,3,2,3,1975,91,1986,27,43,-3,-3,-3,-3,-3,-3,106.3,66,107.2,68,101.3,53,134
8574,867405,8674,3,2,11,1979,93,1986,33,14,-3,-3,-3,-3,-3,-3,87.5,21,100.2,50,77.7,7,78
8584,868501,8685,2,2,2,1978,-3,1986,-3,-3,33,107,68,33,105,64,107.4,68,105.6,66,106.2,66,96
8678,877701,8777,3,2,7,1976,-3,1986,-3,-3,-3,-3,-3,37,96,39,95.5,39,80.6,10,111.4,77,115
8694,879401,8794,2,1,3,1978,100,1986,50,30,-3,-3,-3,34,107,68,111.3,77,93.5,34,126.3,96,96
8741,884701,8847,3,2,9,1978,110,1986,74,35,-3,-3,-3,-3,-3,-3,83.0,13,66.1,1,105.1,63,89
8815,892601,8926,1,2,9,1979,101,1986,53,18,-3,-3,-3,26,114,83,110.9,77,100.2,50,118.7,90,78
8816,892602,8926,1,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.4,47,85.6,18,116.4,86,59
8823,893401,8934,1,1,11,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,91.2,27,84.7,16,100.6,53,63
8849,894901,8949,1,1,4,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,73.8,4,84.7,16,70.7,3,70
8884,897401,8974,2,1,11,1980,103,1986,57,13,-3,-3,-3,-3,-3,-3,82.5,13,98.6,47,70.7,3,65
8935,904501,9045,2,1,7,1979,102,1986,55,21,-3,-3,-3,29,114,83,114.8,84,117.6,88,105.0,63,80
8953,906001,9060,2,2,8,1971,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,62.2,1,65.4,1,74.5,5,174
8954,906002,9060,2,2,4,1973,94,1986,34,47,-3,-3,-3,-3,-3,-3,58.2,0,59.4,0,74.5,5,154
8955,906003,9060,2,2,12,1974,-3,1986,-3,-3,-3,-3,-3,26,72,3,58.2,0,59.4,0,74.5,5,134
8956,906004,9060,2,2,1,1976,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,58.2,0,59.4,0,74.5,5,121
8957,906005,9060,2,1,8,1977,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,57.2,0,57.1,0,72.7,4,103
8996,910301,9103,3,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,95.1,37,92.0,30,100.5,53,59
9122,924401,9244,3,1,6,1978,103,1986,59,31,-3,-3,-3,-3,-3,-3,102.6,58,85.2,16,118.1,88,92
9144,926101,9261,1,1,4,1979,105,1986,64,26,-3,-3,-3,20,93,33,114.3,82,117.1,87,105.1,63,83
9156,927302,9273,1,1,6,1977,99,1986,47,37,-3,-3,-3,34,99,48,99.7,50,93.5,34,106.2,66,105
9166,927701,9277,1,2,12,1978,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,75.2,5,66.1,1,92.0,30,88
9176,928403,9284,1,1,10,1978,94,1986,34,22,-3,-3,-3,20,85,16,83.0,13,85.2,16,85.5,18,88
9207,932301,9323,2,1,8,1975,-3,1986,-3,-3,48,105,64,52,108,71,114.4,82,119.2,90,101.3,53,128
9213,933701,9337,2,1,1,1980,89,1986,23,12,-3,-3,-3,19,102,56,118.7,90,117.6,88,111.9,79,75
9225,934901,9349,1,2,4,1977,104,1986,60,42,-3,-3,-3,44,108,71,83.8,14,80.6,10,92.3,30,108
