,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,MOVED,NUM_CHILDREN,STYPE
211,83102,831,2,2,3,1987,95,2000,37,49,49,93,32,60,102,55,71.8,3,58.6,0,96.1,39,160,7,9652.0,0,0,4,1
212,83103,831,2,2,2,1992,105,2000,64,38,35,107,67,41,112,78,60.6,0,52.9,0,77.3,6,101,7,9652.0,0,0,4,1
216,83901,839,2,2,1,1993,74,2000,4,12,19,88,21,23,94,35,94.9,37,84.3,14,109.5,75,89,7,43000.0,0,0,1,1
217,84102,841,3,2,6,1986,65,2000,1,24,24,65,1,43,81,10,97.9,45,99.3,47,96.1,39,169,61,30500.0,0,0,2,1
222,87501,875,3,1,7,1991,99,2000,47,37,40,107,68,34,99,48,98.7,47,87.0,19,112.2,79,107,33,48280.0,0,0,1,1
228,89601,896,3,1,8,1987,118,2000,89,67,70,117,87,81,135,99,102.2,55,106.1,66,96.1,39,156,99,44725.0,0,0,2,1
230,89801,898,3,2,9,1989,102,2000,55,47,52,111,76,61,118,88,124.0,95,119.6,91,121.0,92,130,74,59132.333333333336,0,0,3,1
231,89802,898,3,1,11,1991,111,2000,77,43,52,126,96,55,126,96,119.9,91,121.0,92,112.2,79,104,74,66235.0,0,0,3,1
232,90001,900,3,1,8,1988,125,2000,95,67,66,117,87,59,109,72,84.8,16,92.5,32,79.5,8,141,73,92000.0,0,0,4,1
233,90002,900,3,2,7,1990,128,2000,97,60,45,107,67,49,109,73,82.6,13,93.8,34,73.7,4,118,73,92000.0,0,0,4,1
234,91202,912,3,1,4,1987,121,2000,92,70,68,114,82,78,125,95,92.2,30,104.7,63,79.5,8,161,94,82500.0,0,0,2,1
236,92302,923,3,1,10,1987,112,2000,78,63,54,103,57,61,105,64,93.5,34,99.3,47,87.8,21,154,27,38000.0,1,0,3,1
237,92303,923,3,2,1,1989,96,2000,39,46,56,109,73,55,105,62,97.9,45,99.3,47,96.1,39,140,27,38000.0,1,0,3,1
238,93203,932,3,1,6,1989,88,2000,22,42,55,112,79,67,119,90,97.9,45,92.5,32,104.4,61,134,24,48000.0,0,0,3,1
240,93601,936,3,1,5,1986,131,2000,98,79,75,121,92,68,108,71,71.8,3,65.4,1,87.8,21,171,54,86898.0,0,0,3,1
241,93602,936,3,1,4,1989,104,2000,61,50,50,104,60,45,94,34,67.4,1,58.6,0,87.8,21,135,54,86898.0,0,0,3,1
246,97401,974,3,1,4,1989,108,2000,71,53,46,97,43,33,80,9,102.2,55,106.1,66,96.1,39,135,69,102000.0,0,0,2,1
247,97402,974,3,1,8,1991,90,2000,25,31,31,95,38,41,105,62,103.0,58,100.6,53,103.5,58,107,69,102000.0,0,0,2,1
248,98101,981,3,1,12,1986,111,2000,77,65,57,101,53,63,104,60,110.9,77,106.1,66,112.7,81,165,22,35944.0,0,0,2,1
250,101502,1015,3,1,11,1986,103,2000,58,60,59,103,58,74,117,87,102.2,55,112.9,81,87.8,21,165,74,59400.0,0,0,4,1
252,101701,1017,3,2,3,1989,104,2000,60,49,47,100,51,51,103,59,102.2,55,99.3,47,104.4,61,133,71,82100.0,0,0,2,1
253,101702,1017,3,1,6,1992,92,2000,29,22,22,94,34,26,98,46,90.1,25,77.0,6,109.5,75,94,71,82100.0,0,0,2,1
254,102401,1024,3,2,2,1991,108,2000,71,45,40,102,56,48,111,77,111.0,77,116.5,86,100.9,53,111,76,85900.0,0,0,1,1
256,103801,1038,3,1,2,1991,94,2000,35,39,24,78,7,23,74,4,115.7,86,108.9,73,119.0,90,114,56,77800.0,0,0,2,1
259,106502,1065,3,1,2,1988,113,2000,80,63,46,91,28,55,101,52,84.8,16,65.4,1,112.7,81,150,77,62000.0,0,0,3,1
260,106503,1065,3,2,8,1991,94,2000,35,35,45,113,80,42,106,65,103.0,58,93.8,34,112.2,79,107,77,62000.0,0,0,3,1
261,108001,1080,3,1,5,1987,121,2000,92,71,62,107,67,74,118,88,119.6,91,119.6,91,112.7,81,162,53,77000.0,0,0,3,1
262,108002,1080,3,1,10,1990,113,2000,81,51,67,131,98,59,121,92,119.6,91,119.6,91,112.7,81,121,53,77000.0,0,0,3,1
263,108003,1080,3,1,9,1993,121,2000,92,43,24,103,58,28,107,68,114.2,82,113.1,81,109.5,75,86,53,77000.0,0,0,3,1
265,109301,1093,3,1,2,1993,118,2000,89,41,37,117,87,38,118,88,114.2,82,113.1,81,109.5,75,88,49,89333.33333333333,0,0,3,1
268,111202,1112,3,2,6,1986,87,2000,19,45,51,93,32,59,98,45,97.9,45,78.9,8,121.0,92,169,27,48000.0,0,0,2,1
270,112304,1123,1,1,12,1986,99,2000,47,54,53,98,45,74,118,88,102.2,55,106.1,66,96.1,39,163,51,100400.0,0,0,5,1
271,112305,1123,1,1,5,1990,103,2000,58,46,56,118,89,64,123,94,97.9,45,106.1,66,87.8,21,123,51,100400.0,0,0,5,1
272,113001,1130,1,2,7,1989,135,2000,99,70,53,112,79,73,128,97,97.9,45,106.1,66,87.8,21,130,45,130150.0,0,0,2,1
273,113002,1130,1,2,10,1992,106,2000,66,31,21,95,36,30,107,68,90.1,25,91.5,27,90.8,27,92,45,130150.0,0,0,2,1
276,115802,1158,2,2,10,1987,114,2000,82,64,44,87,20,73,119,90,76.1,5,78.9,8,79.5,8,153,22,47400.0,0,0,2,1
278,116002,1160,2,2,4,1988,102,2000,55,52,47,94,35,47,92,30,110.5,75,112.2,79,104.4,61,147,26,77000.0,0,0,5,1
279,116302,1163,3,1,7,1986,102,2000,55,60,67,110,75,53,93,32,101.4,53,99.3,47,102.7,58,167,24,17400.0,0,0,2,1
280,116402,1164,3,1,2,1989,101,2000,53,49,43,92,29,48,96,40,106.6,68,92.5,32,121.0,92,138,-4,7600.0,0,0,2,1
281,116602,1166,2,2,12,1989,103,2000,59,47,29,82,11,36,88,21,89.2,23,92.5,32,87.8,21,127,45,85000.0,0,0,2,1
282,117203,1172,3,1,1,1987,97,2000,42,51,46,88,21,48,90,25,119.6,91,112.9,81,121.0,92,162,69,96000.0,0,0,3,1
283,117701,1177,3,1,8,1988,128,2000,97,70,65,116,86,65,113,81,115.3,84,112.9,81,112.7,81,141,97,65625.0,0,0,2,1
284,117702,1177,3,1,8,1992,106,2000,66,34,24,97,43,23,91,28,109.4,73,105.9,66,109.5,75,93,97,65625.0,0,0,2,1
285,117902,1179,3,1,8,1988,114,2000,82,62,40,86,17,42,87,19,89.2,23,92.5,32,87.8,21,143,63,69000.0,0,0,2,1
287,118402,1184,3,2,12,1987,118,2000,88,66,66,113,81,79,128,97,110.9,77,112.9,81,104.4,61,152,90,113000.0,0,0,3,1
288,118701,1187,3,1,8,1987,126,2000,96,71,70,118,89,80,135,99,119.6,91,112.9,81,121.0,92,154,87,58000.0,0,0,3,1
291,120903,1209,2,2,7,1987,109,2000,72,62,52,100,49,60,103,59,106.6,68,106.1,66,104.4,61,156,9,31933.333333333332,1,0,3,1
295,121202,1212,2,1,3,1993,93,2000,31,18,21,98,44,22,95,36,83.8,14,84.3,14,88.9,23,88,2,14300.0,0,0,2,1
