CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,NUM_CHILDREN
231501,2315.0,3.0,1.0,7.0,1978.0,97.0,1986.0,42.0,24.0,21.0,95.0,36.0,23.0,94.0,35.0,126.1,96.0,123.4,94.0,118.1,88.0,91.0,9.0,34063.0,0.0,3.0
231502,2315.0,3.0,2.0,5.0,1982.0,91.6,1992.0,31.8,33.6,35.8,95.6,41.2,37.2,95.6,38.6,110.7,73.4,108.16,68.2,109.22,71.6,123.2,9.0,26291.6,0.2,3.0
231503,2315.0,3.0,1.0,2.0,1986.0,107.5,1997.0,61.25,51.25,46.0,99.0,47.25,48.25,98.75,45.75,102.225,55.75,100.25,50.75,103.575,59.75,137.5,9.0,40666.666666666664,0.0,3.0
231701,2317.0,3.0,1.0,12.0,1987.0,95.5,1997.0,38.5,34.5,29.75,89.5,26.0,33.0,93.75,34.5,104.375,59.5,100.125,49.0,107.625,68.75,114.25,39.0,90250.0,0.0,1.75
231702,2317.0,3.0,2.0,11.0,1995.0,113.0,2004.0,80.0,44.0,42.0,113.0,80.0,51.0,121.0,92.0,84.7,16.0,88.0,21.0,83.3,13.0,103.0,39.0,75000.0,0.0,2.0
231901,2319.0,3.0,2.0,3.0,1978.0,97.0,1988.0,43.0,44.0,38.0,90.0,25.0,41.0,94.0,34.0,115.5,86.0,113.0,81.0,111.5,79.0,-7.0,16.0,,-5.0,-5.0
231902,2319.0,3.0,1.0,1.0,1984.0,95.5,1997.0,38.0,50.0,48.5,91.5,29.0,55.0,96.0,39.5,97.05,46.5,104.85,56.5,87.7,32.0,160.0,16.0,,0.5,5.0
231903,2319.0,3.0,1.0,5.0,1985.0,89.0,1996.0,24.0,42.0,45.0,97.0,42.0,58.0,113.0,81.0,108.6,73.0,122.5,94.0,88.1,21.0,132.0,16.0,,0.0,5.0
231904,2319.0,3.0,1.0,3.0,1989.0,88.0,1999.0,23.5,30.5,37.0,96.5,41.0,31.0,87.5,22.5,99.7,48.5,104.85,57.0,92.19999999999999,32.0,121.5,16.0,15600.0,0.0,5.0
231905,2319.0,3.0,1.0,2.0,1993.0,124.0,2003.0,90.0,59.5,37.5,93.0,36.0,46.5,104.0,58.5,85.5,17.5,87.35,26.0,87.85,22.0,123.5,16.0,15300.0,0.0,5.0
232201,2322.0,3.0,1.0,4.0,1997.0,116.6,2006.0,85.8,45.0,45.6,96.0,64.8,48.8,119.6,86.2,101.24,53.0,100.46000000000001,50.6,101.44,53.2,107.6,56.0,90028.75,0.0,1.0
233301,2333.0,3.0,1.0,4.0,1989.0,93.0,1999.0,37.75,35.0,34.25,93.5,35.75,41.25,100.5,51.0,98.75,47.0,94.5,38.5,103.575,59.0,121.0,53.0,73512.5,0.0,1.0
233901,2339.0,3.0,2.0,10.0,1994.0,126.0,2002.0,96.0,47.0,48.0,128.0,97.0,56.0,135.0,99.0,112.4,79.0,108.8,73.0,112.4,79.0,92.0,98.0,390662.0,0.0,2.0
233902,2339.0,3.0,2.0,10.0,1994.0,105.0,2002.0,63.0,30.0,33.0,112.0,78.0,51.0,128.0,97.0,112.4,79.0,108.8,73.0,112.4,79.0,92.0,98.0,390662.0,0.0,2.0
234001,2340.0,3.0,1.0,2.0,1979.0,101.5,1990.0,54.5,48.5,42.5,95.5,39.5,43.0,94.5,35.0,102.25,57.0,117.3,87.0,84.44999999999999,15.5,137.5,20.0,47440.0,0.0,2.5
234002,2340.0,3.0,1.0,10.0,1981.0,105.0,1992.0,63.0,49.0,40.0,91.0,28.0,32.0,82.0,11.0,108.6,73.0,118.3,88.0,94.4,34.0,130.0,20.0,87880.0,0.0,3.0
234003,2340.0,3.0,1.0,10.0,1990.0,109.0,1998.0,72.0,34.0,19.0,88.0,21.0,24.0,97.0,42.0,90.9,27.0,99.5,47.0,81.1,10.0,92.0,20.0,48000.0,0.0,3.0
234201,2342.0,3.0,1.0,10.0,1980.0,92.0,1991.0,30.0,40.5,36.0,88.5,22.5,31.5,82.0,11.5,103.3,59.5,94.75,38.5,111.55000000000001,77.0,129.5,37.0,31480.0,0.0,2.0
234202,2342.0,3.0,1.0,9.0,1984.0,92.66666666666667,1996.0,32.0,44.0,35.0,83.66666666666667,15.666666666666666,37.333333333333336,83.66666666666667,14.0,84.7,17.333333333333332,74.76666666666667,4.333333333333333,102.0,53.333333333333336,141.33333333333334,37.0,47728.333333333336,0.0,2.0
234701,2347.0,2.0,1.0,4.0,1979.0,90.66666666666667,1990.0,27.666666666666668,40.333333333333336,23.666666666666668,70.33333333333333,2.6666666666666665,25.333333333333332,71.66666666666667,4.333333333333333,60.833333333333336,0.3333333333333333,70.93333333333334,3.3333333333333335,64.76666666666667,1.0,135.66666666666666,19.0,3450.0,0.0,3.0
234702,2347.0,2.0,1.0,10.0,1980.0,94.66666666666667,1990.0,36.333333333333336,36.0,27.0,83.66666666666667,14.333333333333334,27.333333333333332,82.0,12.0,64.56666666666666,1.6666666666666667,70.10000000000001,3.3333333333333335,69.96666666666667,7.333333333333333,118.0,19.0,3450.0,0.0,3.0
234703,2347.0,2.0,1.0,6.0,1988.0,103.5,1999.0,58.5,47.25,43.75,99.5,49.25,53.0,107.0,67.0,62.75,3.75,75.375,6.0,59.2,5.25,132.25,19.0,,0.0,3.0
234801,2348.0,2.0,2.0,7.0,1976.0,94.5,1987.0,39.0,43.0,34.5,86.0,18.5,42.0,93.5,34.0,84.0,15.0,101.1,52.5,71.65,3.0,130.0,4.0,,0.0,1.0
235501,2355.0,2.0,2.0,3.0,1982.0,86.66666666666667,1994.0,21.333333333333332,42.0,41.0,88.33333333333333,23.666666666666668,49.333333333333336,96.0,40.0,82.5,24.0,95.36666666666667,41.333333333333336,74.0,8.333333333333334,147.33333333333334,5.0,10141.5,0.0,3.0
